State,District,Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Bagasse_Tonnes,Trash_Tonnes,Press_Mud_Tonnes,Bagasse_Ton_per_Ha,Trash_Ton_per_Ha,Press_Mud_Ton_per_Ha
Andhra Pradesh,Anantapur,1997 - 1998,700.0,72900.0,104.14,20412.000000000004,8748.0,2916.0,29.159200000000002,12.4968,4.1656
Andhra Pradesh,Chittoor,1997 - 1998,29600.0,2775100.0,93.75,777028.0000000001,333012.0,111004.0,26.250000000000004,11.25,3.75
Andhra Pradesh,East godavari,1997 - 1998,15100.0,1197300.0,79.29,335244.00000000006,143676.0,47892.0,22.201200000000004,9.514800000000001,3.1716
Andhra Pradesh,Guntur,1997 - 1998,1600.0,109600.0,68.5,30688.000000000004,13152.0,4384.0,19.180000000000003,8.219999999999999,2.74
Andhra Pradesh,Kadapa,1997 - 1998,200.0,19300.0,96.5,5404.000000000001,2316.0,772.0,27.020000000000003,11.58,3.86
Andhra Pradesh,Krishna,1997 - 1998,15400.0,1634000.0,106.1,457520.00000000006,196080.0,65360.0,29.708000000000002,12.732,4.244
Andhra Pradesh,Kurnool,1997 - 1998,100.0,9900.0,99.0,2772.0000000000005,1188.0,396.0,27.720000000000002,11.879999999999999,3.96
Andhra Pradesh,Prakasam,1997 - 1998,400.0,27200.0,68.0,7616.000000000001,3264.0,1088.0,19.040000000000003,8.16,2.72
Andhra Pradesh,Spsr nellore,1997 - 1998,5700.0,446300.0,78.3,124964.00000000001,53556.0,17852.0,21.924000000000003,9.395999999999999,3.132
Andhra Pradesh,Srikakulam,1997 - 1998,4900.0,341800.0,69.76,95704.00000000001,41016.0,13672.0,19.5328,8.3712,2.7904000000000004
Andhra Pradesh,Visakhapatanam,1997 - 1998,40400.0,1637200.0,40.52,458416.00000000006,196464.0,65488.0,11.345600000000003,4.8624,1.6208000000000002
Andhra Pradesh,Vizianagaram,1997 - 1998,10000.0,601100.0,60.11,168308.00000000003,72132.0,24044.0,16.8308,7.2132,2.4044
Andhra Pradesh,West godavari,1997 - 1998,27600.0,2156600.0,78.14,603848.0,258792.0,86264.0,21.8792,9.3768,3.1256
Arunachal Pradesh,Changlang,1997 - 1998,230.0,4695.0,20.41,1314.6000000000001,563.4,187.8,5.7148,2.4492,0.8164
Arunachal Pradesh,East siang,1997 - 1998,118.0,4932.0,41.8,1380.96,591.84,197.28,11.704,5.015999999999999,1.672
Arunachal Pradesh,Lohit,1997 - 1998,15.0,105.0,7.0,29.400000000000002,12.6,4.2,1.9600000000000002,0.84,0.28
Arunachal Pradesh,Lower subansiri,1997 - 1998,15.0,560.0,37.33,156.8,67.2,22.400000000000002,10.4524,4.4796,1.4931999999999999
